,Date,Time,Location,Operator,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Country,Regions,percent
1171,12/31/1951,,"Calcutta, India",Kalinga Airlines,,Douglas C-47A,VT-COA,13859/25304,3.0,3.0,0.0,The cargo plane crashed on takeoff., India,Calcutta,100.0
1174,01/19/1952,01:38,"Off Sandspit, BC, Canada",Northwest Orient Airlines,Tokyo - Elmendorf AFB,Douglas DC-4,N45342,27279,43.0,36.0,0.0,"The crew chose to divert to Sandpit after the No. 1 engine was shut down. The aircraft crashed into the PacifiOcean one mile offshore after overshooting the runway during the emergency landing. A nose gear retraction difficulty in connection with an icing condition or a power loss, which made the aircraft incapable of maintaining flight. Most of the fatalities were from exposure to the frigid water.", Canada,Off Sandspit,83.72093023255815
1182,02/19/1952,02:23,"Nagpur, India",Deccan Airways,,Douglas DC-3,VT-AXE,19160,16.0,3.0,0.0,"Banked left and struck trees 2,000 ft. short of the runway. Pilot error. The pilot misjudged the approach, undershot and hit the tops trees. A contributing factor was the setting of the pilot's altimeter to QNH, rather than the customary QFE during the final approach.", India,Nagpur,18.75
1184,03/03/1952,08:10,"Nice, France",Air France,Nice - Paris,SNCASE Languedoc,F-BCUM,43,38.0,38.0,0.0,"After taking off, the plane was observed turning to the left until it turned on its back and crashed. Malfunction of ailerons. The gear chain of the co-pilot's control column slipped off the sprocket and jammed the aileron controls.", France,Nice,100.0
1187,03/22/1952,,"Near Gaspe, Quebec, Canada",Maritime Central Airways,St. Johns - Goose Bay,Douglas C-47-DL,CF-BXZ,4695,4.0,4.0,0.0,The cargo plane disappeared en route. Found 5 months later., Canada,Near Gaspe,100.0
1190,03/26/1952,,"Moscow, Russia",Aeroflot,,,,,70.0,70.0,0.0,The plane overshot the runway and collided with a military aircraft killing at least 70 people., Russia,Moscow,100.0
1195,04/10/1952,,"Agartala, India",Kalinga Airlines,,Douglas C-47A,VT-DFN,13628,4.0,4.0,0.0,The cargo plane crashed while en route after losing an engine and attempting an emergency landing., India,Agartala,100.0
1197,04/18/1952,03:34,"Near Whittier, California",North Continental Airlines (Robin Airlines),"Kansas City, MO - Phoenix - Burbank",Curtiss C-46F-1CU,N8404C,22466,29.0,29.0,0.0,"The plane was on a flight from New York City to Burbank, California. Due to poor visibility and fog, the flight was diverted to Los Angeles Airport for an ILS approach. While on approach, the plane crashed into the Puente Hills and burned. The pilot voluntarily descended below the minimum altitude for which he was cleared and attempted an approach at too low an altitude to clear the terrain. The pilot in command was flying with a restricted medical certificate. An emergency suspension was placed on the airline and it was discovered the airline had allegations of more than 40 violations listed against it including charges of overweight planes, excessive flying time for crews and failure to use approved seats and safety belts.", California,Near Whittier,100.0
1199,04/29/1952,04:40,"Near Carolina, Brazil",Pan American World Airways,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,N1039V,15939/12,50.0,50.0,0.0,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named 'Clipper Good Hope.'", Brazil,Near Carolina,100.0
1203,05/13/1952,,"Sao Paulo, Brazil",VASP,Sao Paulo - Bauru,Douglas DC-3,PP-SPM,16894/34151,22.0,5.0,0.0,Crashed while attempting to make an emergency landing after experiencing an engine failure. Failure of the port engine due to accessory drive failure. Failure of the starboard engine due to seizure as a result of deficient maintenance. Error on the part of the crew in lowering the landing gear in emergency conditions., Brazil,Sao Paulo,22.727272727272727
1204,05/24/1952,,"Near Manaus, Brazil",Loide Aéreo Nacional,,Curtiss C-46A,PP-LDE,446,6.0,6.0,0.0,"The cargo plane lost an engine while taking off, stalled and crashed. Failure of maintenance staff to remove the flying control locks.  Failure of one engine for reason undetermined.", Brazil,Near Manaus,100.0
1207,06/24/1952,,"Lakenheath AFB, England",Military - U.S. Air Force,,Boeing B-50,,,11.0,11.0,0.0,Crashed and burned between two farms., England,Lakenheath AFB,100.0
1209,07/27/1952,11:46,"Off Rio de Janeiro, Brazil",Pan American World Airways,Rio de Janeiro - Buenos Aires,Boeing 377 Stratocruiser,N1030V,15939,27.0,1.0,0.0,A woman was suck out of the plane . The flight engineer's failure to recognize an unsafe condition of the cabin door despite three completely separate warnings of that condition and the captain's action in continuing flight while pressurized despite the several warnings that the main cabin door was not properly locked., Brazil,Off Rio de Janeiro,3.7037037037037033
1210,08/12/1952,,"Palmeira de Goias, Brazil",Transportes Areos Nacionales,Rio Verde - Goiania,Douglas DC-3,PP-ANH,20187,24.0,24.0,0.0,Exploded in midair. A bomb exploded aboard., Brazil,Palmeira de Goias,100.0
1214,09/06/1952,15:40,"Near Farnsborough, England",Private - de Havilland Aircraft,,de Havilland 110,WG235,,1.0,1.0,52.0,"One of two engines of the aircraft fell into a crowd at a performance at the Farnborough air show. The aircraft crashed to the ground 1.5 miles from the grandstands killing the Chief test pilot of de Havilland Aircraft Corporation, John Derry and an observer, Tony Richards. In addition, fifty two people on the ground were killed and over 60 injured. The cause was a structural design fault in the D shaped leading edge section of the wing. When Derry pulled a high G turn, the wing buckled.", England,Near Farnsborough,100.0
1219,10/14/1952,,"San Fransisco do Paula, Brazil",REAL,Sao Paulo - Porto Alegre,Douglas DC-3,PP-AXJ,6177,28.0,14.0,0.0,After being cleared to land the aircraft struck high ground and burst int flames. Navigational error in not knowing where the aircraft was located. Poor weather., Brazil,San Fransisco do Paula,50.0
1223,11/07/1952,03:00,"Near Summit, Alaska",Military - U.S. Air Force,Elmendorf AFB - Big Delta,Fairchild C-119C,51-2560A,10518,19.0,19.0,0.0,"A course deviation led to the aircraft crashing into Mt. McKinley at an elevation of 12,000 ft.", Alaska,Near Summit,100.0
1225,11/15/1952,,"Near Anchorage, Alaska",Military - U.S. Air Force,Elemndorf AFB - Kodiak NAS,Fairchild C-119C,51-2570,10528,20.0,20.0,0.0,Disappeared while en route. No trace of the aircraft was ever found., Alaska,Near Anchorage,100.0
1227,11/22/1952,20:15,"Mount Gannett, Alaska",Military - U.S. Air Force,,Douglas C-124A Globemaster,51-107A,464096,52.0,52.0,0.0,"Bound for Elmendorf Air Force Base, the aircraft struck the south slope of Mount Gannett. The plane drifted off course due to high winds.", Alaska,Mount Gannett,100.0
1237,02/13/1970,,"Pin-la-Garenne, France",Avia-Taxi,,Cessna 402,F-BPJA,402-0100,10.0,10.0,0.0,, France,Pin-la-Garenne,100.0
1241,02/02/1953,05:30,"Off Newfoundland, Canada",Lancashire Aircraft Corporation (Skyways),"Lajes, Azores - Gander",Avro 685 York 1,G-AHFA,1304,39.0,39.0,0.0,"Last know coordinates 46' 15' N, 46'31'W, over the North Atlantic. A distress message was received. No trace of the aircraft or its occupants were ever found.", Canada,Off Newfoundland,100.0
1243,02/07/1953,,"Eysines, France",Autrex,,Douglas DC-4,F-BFGR,10290,20.0,5.0,0.0,Crashed into a grove of small trees and burst into flames while trying to land in heavy fog., France,Eysines,25.0
1248,03/14/1953,,"Kalasahar, India",Orient Airways,Delhi - Dacca,Convair CV-240-7,AP-AEG,082,16.0,16.0,0.0,Crashed into a mountain while en route in severe weather. The pilot descended in poor visibility in order to find his position., India,Kalasahar,100.0
1251,03/20/1953,18:38,"Alvarado, California",Transocean Air Lines,Roswell - Oakland - Guam,Douglas DC-4  (C-54-10-DO),N88942,36076,35.0,35.0,0.0,"The aircraft crashed into a flat barley field and burned. The aircraft first struck the ground with its right wing tip in a near vertical position, cartwheeled and disintegrated. All 30 passengers were maintenance personnel from the 509th Bomb Wing, noted for dropping the atomibombs on Japan. Accumulation of ice on the surfaces of the aircraft in sufficient magnitude to have caused loss of control. Official cause of loss of control unknown.", California,Alvarado,100.0
1252,03/27/1953,,"Itapebi, Brazil",Transportes Aéreos Salvador,,de Havilland DH-114 Heron 1B,PP-SLG,14004,14.0,14.0,0.0,The pilot aborted the takeoff after loosing the No. 2 engine and was unable to stop on the remaining runway. Error of judgment on the part of the pilot in not continuing the takeoff with three engines still operating, Brazil,Itapebi,100.0
1256,04/14/1953,,"Near Guwahati, India",Airways,,Douglas C-47A,VT-AUJ,19149,3.0,3.0,0.0,The cargo plane crashed in the Khasi hills. The port wing failed in the air due to an upload as a result of being subjected to loads greater than those for which it was designed., India,Near Guwahati,100.0
1259,04/20/1953,23:08,"San Francisco Bay, California",Western Airlines,Los Angeles - San Francisco - Oakland,Douglas DC-6B,N91303,43823,10.0,8.0,0.0,The aircraft descended below minimum altitude and crashed into the sea. The pilot's action in continuing a descent below the 500 ft. prescribed minimum altitude until the aircraft struck the water. A probable contributing factor to the aircraft striking the water was the sensory illusion experienced by the pilots., California,San Francisco Bay,80.0
1260,05/02/1953,16:35,"Near Jalalogori, West Bengal, India",British Overseas Airways,Calcutta - Delhi,de Havilland DH106 Comet 1,G-ALYV,06008,43.0,43.0,0.0,The aircraft crashed 6 minutes after taking off from Dum Dum Airport. The accident occurred during a violent thunderstorm. Wreckage indicated that the aircraft broke up in the air. Failure of both elevator spars caused by a heavy down-load that may have been associated with a pull-up maneuver. Severe gusts encountered in the thundersquall and overcontrolling or loss of control by the pilots when flying through the thunderstorm. The aircraft was nicknamed 'York Victor.', India,Near Jalalogori,100.0
1261,05/07/1953,,"Off Hartland Point, England",Military - Royal Air Force,,Vickers Valetta T-3,WG258,,10.0,10.0,0.0,Crashed into the sea., England,Off Hartland Point,100.0
1262,05/09/1953,01:28,"New Delhi, India",Air India,Delh - Ahmedabad - Bombay,Douglas DC-3,VT-AUD,13716,18.0,18.0,0.0,"Stalled following takeoff. An error of judgement by the pilot, who executed a steep starboard turn. He could not come out of the overbanked turn in time because of the low altitude. Inexperience of the pilot with the type of the aircraft which he was flying.", India,New Delhi,100.0
1263,05/11/1953,,"Prince Rupert, BC, Canada",Canadian PacifiAir Lines,"Sandpit, BC - Prince Rupert, BC",Consolidated PBY-5A Catalina,CF-CRV,21984,19.0,2.0,0.0,Crashed while attempting to land.  Misuse of controls after the aircraft touched down on the water. The aircraft  bounced several times with the final bounce being so severe the nose section was torn off., Canada,Prince Rupert,10.526315789473683
1269,06/17/1953,,"Sao Paulo, Brazil",Panair do Brasil,,Lockheed 049-46-21 Constellation,PP-PDA,2066,17.0,17.0,0.0,Crashed while on final approach to Sao Paulo. Error of judgement by the crew during poor visibility at night., Brazil,Sao Paulo,100.0
1274,09/29/1955,,"Yellowknife, Northwest Territory, Canada",Associated Airways,,Avro 685 York C-1,CF-HMV,,2.0,1.0,0.0,The cargo plane ditched into the Thoa river. Fuel exhaustion., Canada,Yellowknife,50.0
1278,08/18/1953,,"Near San Diego, California",Aerovias Contreras,,Curtiss C-46A,XA-GOT,26403,2.0,2.0,0.0,The cargo plane flew into a mountain., California,Near San Diego,100.0
1279,09/01/1953,,"Near Barcelonnette, France",Air France,Paris - Nice - Hong Kong,Lockheed 749A Constellation,F-BAZZ,2674,42.0,42.0,0.0,"While on approach to land at Nice-Cote d' Azur Airport the aircraft crashed into Mt. Cemet in the French Alps. French violinist Jacques Tribaud, 72, among those killed. Navigational error. Pilot deviated from the prescribled route for reasons unknown.", France,Near Barcelonnette,100.0
1290,10/29/1953,08:44,"Near Half Moon Bay, California",British Commonwealth PacifiAirlines,Sydney - Honolulu - San Francisco,Douglas DC-6,VH-BPE,43125,19.0,19.0,0.0,"While flying in fog on an approach to San Francisco International Airport, the aircraft crashed into a redwood forest on a mountain ridge, 7.5 miles southeast of Half Moon Bay. The plane struck the ridge of King's Mountain and broke up, scattering wreckage over a half-mile area.  Failure of the crew to follow prescribed procedures for an instrument approach. American pianist, William Kapell, 31, killed.", California,Near Half Moon Bay,100.0
1292,11/11/1953,17:30,"Off Argyll, England",Military - Royal Air Force,,Avro Shackleton MR-2,WL746,,10.0,10.0,0.0,, England,Off Argyll,100.0
1294,12/12/1953,,"Nagpur, India",Indian Airlines,,Douglas DC-3,VT-CHF,11810,14.0,13.0,0.0,"The aircraft experienced loss of control in too steep a turn. Loss of critical height during a steep left hand turn, with the landing gear down, executed by the pilot at an unsafe altitude in an attempt to return to the aerodrome, after experiencing a temporary loss of power of the left engine soon after becoming airborne. A false right engine fire warning precipitated the attempt at a forced landing.", India,Nagpur,92.85714285714286
1299,01/06/1954,17:20,"Near Aldbury, England",Military -Royal Air Force,Bovingdon AF - Thorney Island,Vickers Valetta,WJ474,599,17.0,16.0,0.0,The aircraft crashed 4 minutes after taking off in a snow shower. The aircraft lost altitude and crashed to the ground for reasons unknown., England,Near Aldbury,94.11764705882352
1301,01/11/1954,,"Manizales, Colombia",AVIANCA,Medellin - Armenia,Douglas DC-3,HK-160,19540,21.0,21.0,0.0,Crashed into a mountain 1 hour after takeoff., Colombia,Manizales,100.0
1302,01/13/1954,,"Long Beach, California",Military - U.S. Air Force,,F-88 Sabre Jet,,,1.0,1.0,6.0,The jet fighter crashed into homes killing 6 people and destroying 3 homes while attempting to land., California,Long Beach,100.0
1307,02/05/1954,,"Susitna Valley, Alaska",Military - U.S. Air Force,,Douglas C-47,5895,,16.0,10.0,0.0,"The plane broke apart over the Susitna Valley of South Central Alaska and the scattered parts fell onto Kesugi Ridge, which is now within Denali State Park. Six servicemen wearing parachutes escaped by being thrown from the disintegrating aircraft.", Alaska,Susitna Valley,62.5
1309,02/25/1954,,"New Delhi, India",Indian Airlines,,Douglas DC-3,VT-ATU,20358,3.0,3.0,0.0,The test flight crashed after attempting to determine the cause of a crash at Nagpur on 12/12/1953., India,New Delhi,100.0
1311,03/04/1954,14:30,"Near St. Etienne de Tinee, France",Military - U.S. Air Force,"Tripoli, Libya - Hahn, W Germany",Douglas C-47A-DL,42-24096A,9958,20.0,20.0,0.0,"The aircraft struck a mountain and disintegrated at an altitude of 8,000 ft. while en route. The accident occurred in snow and low overcast conditions. The plane had drifted off the prescribed course and no wind drift correction had been made.", France,Near St. Etienne de Tinee,100.0
1319,04/08/1954,10:03,"Moose Jaw, SK, Canada",Trans Canada Air Lines / RCAF,,Canadair C-4-1Argonaut / Harvard Mark II,CF-TFW/RCAF3309,150,36.0,36.0,1.0,"Midair collision between a Canadair C-4-1 and a RCAF Harvard Mark II at 6,000 feet.  Thirty-five killed on the Canadair, one on the Harvard. Failure on the part of the pilots of both aircraft to maintain a proper lookout. The onus of responsibility for keeping out of the way being with the Harvard aircraft as it had the other on its own right side.", Canada,Moose Jaw,100.0
1323,04/30/1954,09:18,"Near Calcutta, India",Darbhanga Aviation,,Douglas C-47A-30-DK,VT-DEM,13792,11.0,5.0,0.0,"The aircraft tried to return to the airport after the No. 1 engine failed on takeoff but was unable to maintain airspeed, stalled and crashed into a tree. Delay in feathering the No. 1 engine after failure. Improper emergency procedural errors by the pilot.", India,Near Calcutta,45.45454545454545
1325,05/31/1954,,"Cipo Mountain, Brazil",Transportes Aereos Nacionales,Governador Valadares - Belo Horizonte,Douglas DC-3,PP-ANO,19830,19.0,19.0,0.0,The aircraft deviated from its normal course by 30 miles and struck a mountain. Navigational error. The minimum safety height for the route was not complied with., Brazil,Cipo Mountain,100.0
1327,06/04/1954,,"Sao Paulo, Brazil",Varig,Sao Paulo - Porto Alegre,Curtiss C-46A,PP-VBZ,30400,3.0,3.0,0.0,The cargo plane crashed on takeoff. Elevator lock was not removed prior to takeoff., Brazil,Sao Paulo,100.0
1329,06/19/1954,,"Off Folkestone, England",Swissair,Geneva - London,Convair CV-240-4,HB-IRW,61,9.0,3.0,0.0,The plane ditched into the AtlantiOcean after running out of fuel. Three non-swimming passengers drowned due to lack of lifesaving equipment aboard. Negligence of the crew in not monitoring the fuel situation as the flight progressed., England,Off Folkestone,33.33333333333333
1330,07/02/1954,12:00,"Near Salvador, Brazil",Military - Brazilian Air Force,,Lockheed C-28,C-28-2901,,20.0,20.0,0.0,The aircraft crashed while attempting to land at Salvador. Engine failure at a critical stage in landing., Brazil,Near Salvador,100.0
1331,07/23/1954,09:45,"Off Hainan Island, China",Cathay PacifiAirways,Singapore - Hong Kong - Bangkok,Douglas DC-4,VR-HEU,10310,18.0,10.0,0.0,Ditched into the sea after being shot down by Chinese Lachovlin  La-7 military fighter aircraft. The survivors were rescued by the U.S. Air Force., China,Off Hainan Island,55.55555555555556
1332,08/08/1954,15:40,"Near McGrath, Alaska",Alaska Airlines,McGrath - Colorado Creek,Douglas DC-2,N91008,13977/25422,2.0,2.0,0.0,"Flew into a mountain, 35 miles northeast of McGrath.", Alaska,Near McGrath,100.0
1338,05/16/1958,,"Chatenoy, France",British European Airways,,Douglas C-47A,G-AGHP,9408,3.0,3.0,0.0,Broke up in midair while flying through a thunderstorm., France,Chatenoy,100.0
1341,09/12/1954,20:08,"Off Rio de Janeiro, Brazil",Cruzeiro,,Douglas DC-3,PP-CDJ,19278,30.0,6.0,0.0,The plane was attemping to return to the Rio de Janeiro after severe vibrations in the No. 1 engine made the crew feather the prop.  While on final the aircraft came in too high and a go-around was attempted during which the plane crashed into the sea.   Lack of reference to instruments after opening the throttle to go-around in restricted visibility.  Power may have been inadvertently reduced on the good engine., Brazil,Off Rio de Janeiro,20.0
1355,12/29/1954,,"Near Moscow, Russia",Aeroflot,,,,,45.0,45.0,0.0,, Russia,Near Moscow,100.0
1356,12/31/1954,,"Irkutsk, Russia",Aeroflot,Peking -  Irkutsk - Cyprus,Ilyushin 14,,,17.0,17.0,0.0,Crashed during takeoff., Russia,Irkutsk,100.0
1360,01/31/1955,,"Lapadrera, Colombia",Interamericana de Aviacion,,Consolidated PBY-5 Catalina,HK-1000E,,5.0,5.0,0.0,Crashed into the Caqueta river while landing., Colombia,Lapadrera,100.0
1361,02/02/1955,03:50,"Nagpur, India",Indian Airlines,Nagpur - Delhi,Douglas DC-3,VT-CVB,13037,10.0,10.0,0.0,"Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude.", India,Nagpur,100.0
1366,03/06/1955,,"Vitoria da Conquista, Brazil",REAL,,Douglas DC-3,PP-YPZ,11699,21.0,5.0,0.0,"After an aborted landing attempt due to a unlocked landing gear, the plane made a left turn, hit a pole, crashed and burned. Pilot error. Improper use of the throttles by the crew following the go-around. Failure of the landing gear locking mechanism.", Brazil,Vitoria da Conquista,23.809523809523807
1368,03/09/1955,,"Trujillo, Colombia",AVIANCA,Condoto - Cali,Douglas C-47A,HK-328,20224,8.0,8.0,0.0,The cargo plane crashed with a gold and platinum shipment aboard. Wreckage found one month later., Colombia,Trujillo,100.0
1378,05/26/1955,14:30,"Edmonton, Alberta, Canada",Associated Airways,,Avro 685 York C-1,CF-HMY,,2.0,2.0,0.0,"The attempt of the pilot to takeoff under the prevailing unfavorable conditions. As a result, the aircraft hit an obstacle in line with and off the end of the runway.", Canada,Edmonton,100.0
1386,08/06/1955,,"Near Voronezh, Russia",Aeroflot,Starllingrad - Moscow.,,,,25.0,25.0,0.0,Crashed en route., Russia,Near Voronezh,100.0
1388,08/26/1955,,"Caparao Mountain, Brazil",Cruzeiro,Rio de Janeiro - Caravelas,Douglas DC-3,PP-CBY,11692,13.0,13.0,0.0,"Hit Caparao Mountain while en route, 1 hour after taking off.  Failure to follow flight plan.", Brazil,Caparao Mountain,100.0
1391,09/08/1955,,"Burbank, California",Currey Air Transport,Burbank - Oakland,Douglas DC-3,N74663,6257,33.0,3.0,0.0,"The plane returned after failure of the No. 2 engine, stalled and crashed 200 yards short of the runway  into parked aircraft and a hanger.  The captain's commitment to a landing without radio or visual confirmation of his runway alignment following engine failure immediately after takeoff.", California,Burbank,9.090909090909092
1393,09/17/1955,,"Near Thorhild, Canada",PacifiWestern Airlines,"Edmonton, AB - Yellowknife, NT",Bristol 170 Freighter 31,CF-GBT,12831,6.0,2.0,0.0,"For reasons undetermined, the right engine failed and as a result of being overloaded, the aircraft did not maintain altitude on one engine and struck the ground with the right wingtip. A possible contributing factor was the failure of the co-pilot's vacuum-driven gyro instruments, without his knowledge.", Canada,Near Thorhild,33.33333333333333
1403,11/30/1955,22:00,"Near Ballico, California",Military - U.S. Air Force,,Boeing RB-52B,52-8716,,10.0,10.0,0.0,The aircraft crashed into a wooded area in 5 degree nose-down attitude.  Abnormal nose-down trim condition which could not be corrected due to an unknown malfunction., California,Near Ballico,100.0
1404,12/01/1955,02:00,"Belem, Brazil",Cruzeiro,,Douglas DC-3,PP-CCC,15845/32593,6.0,6.0,0.0,"Shortly after taking off, the No.1 engine lost power. The crew shut off the hydraulipump which caused the landing gear to stop retracting halfway. The resulting drag, caused the aircraft to lose altitude. The left wing struck a tree and the plane crashed and burned. Failure of the front bearing of the propeller shaft leading to disconnection of the reduction gear and left propeller and causing a sudden failure of the left engine.", Brazil,Belem,100.0
1406,12/19/1955,,"Sao Paulo, Brazil",Cruzeiro Do Sud,Sao Paulo - Belem,Douglas DC-3,,,26.0,26.0,0.0,Crashed on takeoff., Brazil,Sao Paulo,100.0
1409,01/17/1956,00:52,"Oreway, Canada",Quebecair,Knob Lake - Oreway,Douglas DC-3,CF-GVZ,15552/26997,18.0,4.0,0.0,Loss of the No. 2 engine necessitated a forced crash landing near a railway station.  Failure to maintain height at night due to the loss of the starboard engine in icing conditions.  The aircraft was also overloaded., Canada,Oreway,22.22222222222222
1411,01/28/1956,,"Lyon, France",Air France,,Douglas C-47,F-BCYK,4509,3.0,3.0,0.0,The cargo plane was on approach when it crashed., France,Lyon,100.0
1412,02/13/1956,,"Frobisher Bay, Canada",Maritime Central Airways,,Bristol 170 Freighter 31,CF-FZU,,2.0,2.0,0.0,Loss of control due to improperly secured heavy cargo breaking loose and sliding to the rear of the aircraft during takeoff., Canada,Frobisher Bay,100.0
1413,02/14/1956,,"Near Fort Chimo, Quebec, Canada",Spartan Air Services,,Douglas C-47-DL,CF-BZH,6079,3.0,2.0,0.0,Crashed on a ferrying flight. Soldier of fortune Harold (Whitey) Dahl killed., Canada,Near Fort Chimo,66.66666666666666
1414,02/17/1956,13:45,"Near Niles, California",Military - U.S. Marine Corps,El Toro MAS - Alameda NAS,Douglas R5D2,39116,,40.0,40.0,0.0,Crashed into Sunol Ridge after circling for half-an-hour while attempting to land at Alameda Naval Air Station.  Non adherence of the crew to the holding pattern and departure from the radio beacon and descent in a unprescribed manner., California,Near Niles,100.0
1419,03/21/1956,,"Tezpur, India",Indian Airlines,,Douglas DC-3,VT-CGN,12989,21.0,2.0,0.0,An improper flare on landing caused the aircraft to bounce causing the right wing to strike the runway after which the plane veered off the runway., India,Tezpur,9.523809523809524
1420,03/28/1956,,"Largs, England",Starways,Liverpool - Glasgow,Douglas C-47B,G-AMRB,16670/33418,3.0,1.0,0.0,During an instrument approach at night the pilot of the cargo plane permitted the aircraft to descend below the approved safety height and this resulted in the aircraft striking the ground., England,Largs,33.33333333333333
1421,03/31/1956,,"Indapur, India",National Air Operators,Asansol - Bagdogra,Douglas C-47A,VT-DCM,10230,3.0,3.0,0.0,The cargo plane crashed en route. A downdraft which forced down the fully loaded aircraft to the ground when it was flying under exceptionally severe weather conditions below 1000 ft. and possibly at a few hundred feet above the terrain., India,Indapur,100.0
1425,04/09/1956,09:51,"Skilak Lake, Alaska",Cordova Airlines,Anchorage - Seward,Aero Commander  520,B5386N,520-7,6.0,6.0,0.0,Crashed en route from Anchorage to Seward. The pilot's action in continuing flight during instrument weather conditions on a planned VFR flight through a mountain pass and striking a mountainside while attempting to climb out., Alaska,Skilak Lake,100.0
1426,04/18/1956,,"Parintins, Brazil",Panair do Brasil,Belem - Parintins,Consolidated PBY-5A Catalina,PP-PDB,,12.0,3.0,0.0,The plane struck an object in the water while landing and broke up., Brazil,Parintins,25.0
1427,04/30/1956,09:30,"London, England",Scottish Airlines,London - Malta,Avro 685 York C-1,G-AMUL,,54.0,2.0,0.0,The aircraft made a sudden turn to the right while talking off from Stansted. Overcorrection by the pilot in command which caused the aircraft to veer to the right., England,London,3.7037037037037033
1429,05/15/1956,22:17,"Orleans, Ontario, Canada",Military - Royal Canadian Air Force,,CF-100 Mark V,,,2.0,2.0,13.0,"The CF-100 was from the Canadian Air Defense Command which was scrambled to investigate an unidentified transport plane flying in the area. Something malfunctioned on the fighter and the jet crashed into a convent operated by the Grey Nuns of the Cross, at over 680 miles an hour, destroying the three story, 70 room convent.", Canada,Orleans,100.0
1438,08/29/1956,20:45,"Cold Bay, Alaska",Canadian PacifiAir Lines,Vancouver - Hong Kong,Douglas DC-6B,CF-CUP,43843/324,22.0,15.0,0.0,The aircraft crashed after a missed approach. The crew executing full retraction of flaps without increasing power or changing attitude resulting in loss of lift after the missed approach., Alaska,Cold Bay,68.18181818181817
1441,10/02/1956,18:25,"Near Nome, Alaska",Alaska Airlines,Unalakleet and Nome,Stinson AT-19,N 79069,FK-975,5.0,5.0,0.0,Crashed while en route. The action of the pilot in flying into conditions of darkness and adverse weather in which he could not maintain adequate control of the aircraft., Alaska,Near Nome,100.0
1442,10/10/1956,22:10,"Off Land's End, England",Military - U.S. Navy,RAF Lakenheath - McGuire AFB,Douglas C188-B,1311588,43691,59.0,59.0,0.0,The plane disappeared over the Atlantiwhile on a flight from Royal Air Force Base in England to McGuire Air Force Base in New Jersey. Cause unknown., England,Off Land's End,100.0
1444,10/19/1956,,"Agartala, India",Indian Airlines,,Douglas DC-3,VT-DGK,,3.0,3.0,0.0,The cargo plane crashed after an attempted go-around., India,Agartala,100.0
1446,11/05/1956,23:52,"Blackbushe, England",Britavia,Tripoli - Blackbushe,Handley Page HP-1 Hermes,G-ALDJ,HP-81/11,80.0,5.0,0.0,While attempting to land the aircraft descended below the ILS glideslope and hit a tree. Using the lights of the airport the captain misjudged the height he was flying., England,Blackbushe,6.25
1449,10/18/1957,,"Porto Alegre, Brazil",Varig,,Douglas C-47A,PP-VCS,19757,2.0,2.0,0.0,Incorrect use of flying controls during takeoff roll.  Possible failure of left engine. Turbulent conditions close to ground., Brazil,Porto Alegre,100.0
1450,11/17/1956,17:00,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,Buenaventura - Cali,Douglas DC-3,HK-385,1971,36.0,36.0,0.0,"Hit El Rucio Mountain at 6,200 ft. which was obscured by clouds. Lack of cockpit discipline. Flight on instruments at an excessively low altitude for the route.", Colombia,El Rucio Mountain,100.0
1452,11/24/1956,23:17,"Paris, France",Linee Aeree Italiane,Rome - Paris -  Shannon - New York City,Douglas DC-6B,I-LEAD,45075,35.0,34.0,8.0,"Lost altitude on takeoff and crashed into a house. Failed to climb for reasons unknown. The aircraft's slight loss of altitude soon after take off was the main cause of the accident. There is no explanation for this loss of altitude. Orchestra and opera conductor Guido Cantelli, 36, among those killed.", France,Paris,97.14285714285714
1454,12/08/1956,06:47,"Caqueta, Colombia",AIDA,Bogota - Medellin - Quibdo,Consolidated PBY-5A Catalina,HK-133,,16.0,14.0,0.0,"The starboard engine failed shortly after takoff and  the plane crash into Quetame Hill, 25km northwest of Santa Cecilia  Airport. Complete failure of the starboard engine due to the breakdown of the lubricating system. Recklessness of the pilot in taking off from a closed airport while aware of the poor weather conditions. The aircraft was also overloaded.", Colombia,Caqueta,87.5
1455,12/09/1956,19:15,"Near Chilliwack, British Columbia, Canada",Trans Canada Air Lines,Vancouver - Toronto,Canadair DC-4M-2 Northstar,CF-TFD,128,62.0,62.0,0.0,"The aircraft departed Vancouver en route to Calgary. Some 50 minutes later the pilot reported a fire in the No. 2 engine and was turning back. While flying under the power of 3 engines, the aircraft encountered severe icing, turbulence or other difficulty which led to the loss of control by the crew. It could not be determined why the aircraft was 12 miles south of the assigned airway. The plane crashed high into Mount Slesse. The bodies and wreckage were not found until 05/10/1957 and the wreckage still remains at the site which is now a memorial.", Canada,Near Chilliwack,100.0
1456,12/12/1956,09:00,"Dannemois, France",Air France,Training,Vickers 708 Viscount,F-BGNK,8,5.0,5.0,0.0,Crashed in a steep angle of attack., France,Dannemois,100.0
